PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;vrouw;59;51;58;74;68
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34868;B Tuinbouw en Akkerbouw;deeltijd onderwijs;hbo bachelor;man;0;3;0;8;3
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34868;B Tuinbouw en Akkerbouw;deeltijd onderwijs;hbo bachelor;vrouw;0;2;0;0;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34868;B Tuinbouw en Akkerbouw;voltijd onderwijs;hbo bachelor;man;17;22;28;34;28
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34868;B Tuinbouw en Akkerbouw;voltijd onderwijs;hbo bachelor;vrouw;7;8;5;6;3
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34869;B Dier- en Veehouderij;deeltijd onderwijs;hbo bachelor;man;0;3;1;2;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34869;B Dier- en Veehouderij;deeltijd onderwijs;hbo bachelor;vrouw;0;2;0;1;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34869;B Dier- en Veehouderij;voltijd onderwijs;hbo bachelor;man;74;74;73;74;88
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34869;B Dier- en Veehouderij;voltijd onderwijs;hbo bachelor;vrouw;40;48;52;57;58
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);49137;M Agribusiness Development;duaal onderwijs;hbo master;man;0;0;0;0;4
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);49137;M Agribusiness Development;duaal onderwijs;hbo master;vrouw;0;0;0;0;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80006;Ad Dier- en Veehouderij;voltijd onderwijs;hbo associate degree;man;1;1;7;5;5
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80006;Ad Dier- en Veehouderij;voltijd onderwijs;hbo associate degree;vrouw;1;1;1;2;3
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80012;Ad Tuinbouw en Akkerbouw;voltijd onderwijs;hbo associate degree;man;6;2;1;3;1
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80012;Ad Tuinbouw en Akkerbouw;voltijd onderwijs;hbo associate degree;vrouw;1;0;0;1;0
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo associate degree;man;1;2;15;23;24
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo associate degree;vrouw;0;0;1;1;1
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;man;0;0;0;0;5
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;3
Friesland;0080;Leeuwarden;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;man;3;1;2;3;1
Friesland;0080;Leeuwarden;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;vrouw;27;25;32;26;27
Friesland;0080;Leeuwarden;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;voltijd onderwijs;hbo master;vrouw;15;7;1;0;0
Friesland;0080;Leeuwarden;reguliere inst.;25BE;Hanzehogeschool Groningen;taal en cultuur;opleidingen op het gebied van de kunst;30041;B Popular Culture;voltijd onderwijs;hbo bachelor;man;29;23;27;25;28
Friesland;0080;Leeuwarden;reguliere inst.;25BE;Hanzehogeschool Groningen;taal en cultuur;opleidingen op het gebied van de kunst;30041;B Popular Culture;voltijd onderwijs;hbo bachelor;vrouw;10;10;20;21;10
Friesland;0080;Leeuwarden;reguliere inst.;30HD;Hogeschool Van Hall Larenstein;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34284;B Milieukunde;deeltijd onderwijs;hbo bachelor;man;11;7;5;4;2
Friesland;0080;Leeuwarden;reguliere inst.;30HD;Hogeschool Van Hall Larenstein;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34284;B Milieukunde;deeltijd onderwijs;hbo bachelor;vrouw;4;5;6;2;2
Friesland;0080;Leeuwarden;reguliere inst.;30HD;Hogeschool Van Hall Larenstein;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34284;B Milieukunde;voltijd onderwijs;hbo bachelor;man;19;13;17;12;22
