PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;vrouw;17;10;14;21;12
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;man;63;85;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;vrouw;31;41;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;man;56;41;67;70;84
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;vrouw;12;16;19;21;30
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;man;24;33;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;vrouw;31;41;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;man;0;0;0;50;64
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;vrouw;0;0;0;91;86
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;man;0;0;0;123;138
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;vrouw;0;0;0;17;26
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;man;0;0;0;1;3
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;vrouw;0;0;0;21;11
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;man;26;24;17;9;12
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;vrouw;44;51;45;29;47
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;man;8;6;9;9;5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;10;8;8;12;8
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;161;161;181;178;203
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;248;249;288;316;337
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;man;0;1;2;0;1
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;vrouw;3;2;5;5;5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;man;6;9;17;11;17
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;vrouw;15;28;34;37;40
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;man;3;3;4;3;5
