PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66607;M Pedagogische Wetenschappen;voltijd onderwijs;wo master;man;2;2;5;6;4
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66607;M Pedagogische Wetenschappen;voltijd onderwijs;wo master;vrouw;165;170;179;205;179
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66613;M Onderwijskunde;voltijd onderwijs;wo master;man;1;6;5;1;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66613;M Onderwijskunde;voltijd onderwijs;wo master;vrouw;25;21;35;31;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66615;M Communicatiewetenschap;voltijd onderwijs;wo master;man;22;25;23;19;21
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66615;M Communicatiewetenschap;voltijd onderwijs;wo master;vrouw;39;43;44;49;65
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;duaal onderwijs;wo master;man;2;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;duaal onderwijs;wo master;vrouw;0;2;1;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;voltijd onderwijs;wo master;man;31;29;29;22;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;voltijd onderwijs;wo master;vrouw;18;15;14;19;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66627;M Bestuurskunde;voltijd onderwijs;wo master;man;33;42;41;30;53
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66627;M Bestuurskunde;voltijd onderwijs;wo master;vrouw;28;36;25;31;29
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66655;M Spatial Planning;duaal onderwijs;wo master;man;0;0;0;0;3
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66655;M Spatial Planning;voltijd onderwijs;wo master;man;0;0;0;2;29
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66655;M Spatial Planning;voltijd onderwijs;wo master;vrouw;0;0;0;0;11
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66839;M Environment and Society Studies;voltijd onderwijs;wo master;man;5;8;8;9;8
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66839;M Environment and Society Studies;voltijd onderwijs;wo master;vrouw;9;3;9;19;20
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;wo bachelor;man;92;103;114;90;77
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;wo bachelor;vrouw;201;214;213;188;181
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;wo bachelor;man;20;13;18;17;22
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;wo bachelor;vrouw;46;41;48;40;53
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;wo bachelor;man;25;27;36;25;23
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;wo bachelor;vrouw;42;57;69;46;51
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;wo master;man;91;95;108;112;99
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;wo master;vrouw;218;196;235;215;221
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66588;M Tandheelkunde;voltijd onderwijs;wo master;man;27;20;21;24;15
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66588;M Tandheelkunde;voltijd onderwijs;wo master;vrouw;43;43;49;50;38
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66990;M Biomedical Sciences;voltijd onderwijs;wo master;man;18;28;32;22;31
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66990;M Biomedical Sciences;voltijd onderwijs;wo master;vrouw;40;56;59;50;72
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;wo bachelor;man;9;3;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;wo bachelor;vrouw;0;1;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;wo bachelor;man;21;22;9;0;0
