brin_nummer,kwalificatie_code,kwalificatie_naam,2015_man_i,2015_vrouw_i,2015_tot_i,2016_man_i,2016_vrouw_i,2016_tot_i,2017_man_i,2017_vrouw_i,2017_tot_i,2018_man_i,2018_vrouw_i,2018_tot_i,2019_man_i,2019_vrouw_i,2019_tot_i,2015_man_d,2015_vrouw_d,2015_tot_d,2016_man_d,2016_vrouw_d,2016_tot_d,2017_man_d,2017_vrouw_d,2017_tot_d,2018_man_d,2018_vrouw_d,2018_tot_d,2019_man_d,2019_vrouw_d,2019_tot_d,tech_label
02PA,22258.0,Applicatie- en mediaontwikkeling,187.0,6.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,tech
02PA,25187.0,Applicatie- en mediaontwikkelaar,0.0,0.0,0.0,15.0,0.0,15.0,104.0,7.0,111.0,142.0,6.0,148.0,112.0,4.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,47.0,tech
02PA,25188.0,Gamedeveloper,0.0,0.0,0.0,99.0,2.0,101.0,102.0,4.0,106.0,145.0,4.0,149.0,153.0,9.0,162.0,,,,,,,,,,,,,,,,tech
02PA,25197.0,Allround DTP-er,0.0,0.0,0.0,29.0,23.0,52.0,71.0,52.0,123.0,90.0,73.0,163.0,85.0,67.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,47.0,tech
02PA,25198.0,Medewerker DTP,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,18.0,33.0,25.0,58.0,31.0,29.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,22.0,12.0,11.0,23.0,tech
02PA,25201.0,Mediavormgever,0.0,0.0,0.0,111.0,159.0,270.0,221.0,276.0,497.0,284.0,401.0,685.0,326.0,477.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,21.0,tech
02PA,25212.0,Ruimtelijk vormgever,0.0,0.0,0.0,11.0,59.0,70.0,19.0,102.0,121.0,26.0,140.0,166.0,25.0,138.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,20.0,design
02PA,25215.0,Signspecialist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,47.0,28.0,24.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,design
02PA,90411.0,Mediavormgever (Animatie/audiovisuele vormgeving),60.0,22.0,82.0,35.0,15.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,33.0,23.0,6.0,29.0,34.0,16.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,tech
02PA,90413.0,Mediavormgever (Grafische vormgeving),121.0,130.0,251.0,126.0,225.0,351.0,69.0,156.0,225.0,28.0,70.0,98.0,2.0,5.0,7.0,64.0,74.0,138.0,53.0,54.0,107.0,43.0,49.0,92.0,38.0,79.0,117.0,30.0,71.0,101.0,tech
02PA,90414.0,Mediavormgever (Interactieve vormgeving),40.0,12.0,52.0,88.0,33.0,121.0,58.0,22.0,80.0,25.0,12.0,37.0,2.0,2.0,4.0,20.0,4.0,24.0,13.0,5.0,18.0,24.0,6.0,30.0,32.0,9.0,41.0,28.0,11.0,39.0,tech
02PA,91541.0,"Vormgeving ruimtelijke presentatie en communicatie (Stand-, winkel en decorvormgever)",3.0,6.0,9.0,2.0,5.0,7.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,design
