brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
22OJ,34475,Hogeschool Rotterdam,techniek,n.v.t. (techniek),Technische Informatica,hbo,bachelor,39.0,0.0,57.0,2.0,64.0,7.0,89.0,5.0,97.0,6.0,39.0,59.0,71.0,94.0,103.0,15.0,0.0,21.0,1.0,18.0,0.0,20.0,0.0,27.0,0.0,15.0,22.0,18.0,20.0,27.0,['599'],Informatica,Exact en Informatica,1.0,Computer Science,110.0,324.0,both,computer science,developer
22OJ,34479,Hogeschool Rotterdam,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,207.0,14.0,245.0,19.0,228.0,26.0,195.0,20.0,175.0,21.0,221.0,264.0,254.0,215.0,196.0,44.0,7.0,61.0,1.0,55.0,4.0,65.0,3.0,72.0,4.0,51.0,62.0,59.0,68.0,76.0,['599'],Informatica,Exact en Informatica,1.0,Information Technology,323.0,909.0,both,"information, technology",developer
22OJ,80083,Hogeschool Rotterdam,techniek,n.v.t. (techniek),ICT Service Management,hbo,associate degree,62.0,9.0,73.0,3.0,114.0,2.0,86.0,8.0,68.0,4.0,71.0,76.0,116.0,94.0,72.0,23.0,1.0,17.0,1.0,18.0,1.0,31.0,4.0,38.0,3.0,24.0,18.0,19.0,35.0,41.0,['599'],Informatica,Exact en Informatica,1.0,ICT Service Management,95.0,243.0,both,ict,support
22OJ,80155,Hogeschool Rotterdam,techniek,n.v.t. (techniek),ICT Internet of Things,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,['599'],Informatica,Exact en Informatica,1.0,ICT Internet of Things,0.0,0.0,both,ict,support
23AH,35516,Saxion Hogeschool,economie,n.v.t. (economie),Creative Business,hbo,bachelor,58.0,81.0,36.0,104.0,35.0,89.0,78.0,119.0,89.0,179.0,139.0,140.0,124.0,197.0,268.0,16.0,58.0,26.0,65.0,29.0,58.0,31.0,69.0,29.0,77.0,74.0,91.0,87.0,100.0,106.0,"['200', '150', '153']",Informatiestudies,Taal en Communicatie,1.0,Creative Business,265.0,727.0,both,creative,growth
23AH,80014,Saxion Hogeschool,economie,n.v.t. (economie),Business IT & Management,hbo,associate degree,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,1.0,1.0,0.0,0.0,4.0,,2.0,,0.0,,0.0,,0.0,,4.0,2.0,0.0,0.0,0.0,"['200', '150', '153']",,,1.0,Business IT & Management,0.0,0.0,left_only,,support
23AH,30020,Saxion Hogeschool,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,248.0,16.0,265.0,10.0,276.0,23.0,257.0,23.0,205.0,23.0,264.0,275.0,299.0,280.0,228.0,93.0,1.0,94.0,6.0,129.0,6.0,126.0,9.0,140.0,8.0,94.0,100.0,135.0,135.0,148.0,"['200', '150', '153']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,358.0,1169.0,both,"information, technology",support
23AH,30026,Saxion Hogeschool,techniek,n.v.t. (techniek),Mechatronica,hbo,bachelor,47.0,1.0,53.0,3.0,64.0,5.0,72.0,3.0,106.0,3.0,48.0,56.0,69.0,75.0,109.0,10.0,0.0,24.0,0.0,28.0,0.0,23.0,1.0,25.0,0.0,10.0,24.0,28.0,24.0,25.0,"['200', '150', '153']",Mechatronica,Techniek,1.0,Mechatronics,90.0,238.0,both,,designer
23AH,30036,Saxion Hogeschool,techniek,n.v.t. (techniek),Creative Media and Game Technologies,hbo,bachelor,138.0,72.0,82.0,69.0,139.0,75.0,100.0,54.0,116.0,56.0,210.0,151.0,214.0,154.0,172.0,81.0,58.0,71.0,47.0,85.0,41.0,76.0,45.0,99.0,40.0,139.0,118.0,126.0,121.0,139.0,"['200', '150', '153']",Game Architecture and Design,Techniek,1.0,Creative Media and Game Technologies,193.0,822.0,both,"creative, media",designer
23AH,34389,Saxion Hogeschool,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,27.0,7.0,24.0,19.0,24.0,14.0,35.0,22.0,30.0,15.0,34.0,43.0,38.0,57.0,45.0,12.0,5.0,17.0,8.0,27.0,9.0,28.0,12.0,23.0,6.0,17.0,25.0,36.0,40.0,29.0,"['200', '150', '153']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,75.0,216.0,both,"design, engineer",designer
